start_hour_str,dow_str,start_station_name,city,avg_duration,number_of_trips
Morning,Tuesday,San Francisco Caltrain (Townsend at 4th),San Francisco,11.7,7049
Morning,Wednesday,San Francisco Caltrain (Townsend at 4th),San Francisco,12.3,6956
Morning,Thursday,San Francisco Caltrain (Townsend at 4th),San Francisco,11.5,6834
Morning,Monday,San Francisco Caltrain (Townsend at 4th),San Francisco,11.9,6130
Morning,Friday,San Francisco Caltrain (Townsend at 4th),San Francisco,11.7,5781
Morning,Tuesday,San Francisco Caltrain 2 (330 Townsend),San Francisco,10.9,4940
Morning,Monday,San Francisco Caltrain 2 (330 Townsend),San Francisco,10.8,4571
Morning,Wednesday,San Francisco Caltrain 2 (330 Townsend),San Francisco,10.4,4424
Morning,Thursday,San Francisco Caltrain 2 (330 Townsend),San Francisco,10.3,4074
Morning,Tuesday,Temporary Transbay Terminal (Howard at Beale),San Francisco,8.9,3606
Morning,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,9.5,3599
Morning,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,9.2,3554
Morning,Friday,San Francisco Caltrain 2 (330 Townsend),San Francisco,10.2,3421
Morning,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,9.3,3340
Morning,Monday,Harry Bridges Plaza (Ferry Building),San Francisco,9.5,3273
Afternoon,Tuesday,San Francisco Caltrain (Townsend at 4th),San Francisco,10.3,3222
Morning,Wednesday,Temporary Transbay Terminal (Howard at Beale),San Francisco,9.0,3206
Morning,Monday,Temporary Transbay Terminal (Howard at Beale),San Francisco,9.0,3166
Morning,Thursday,Temporary Transbay Terminal (Howard at Beale),San Francisco,8.9,3154
Afternoon,Wednesday,San Francisco Caltrain (Townsend at 4th),San Francisco,10.1,3047
Afternoon,Monday,San Francisco Caltrain (Townsend at 4th),San Francisco,10.4,2952
Afternoon,Thursday,San Francisco Caltrain (Townsend at 4th),San Francisco,10.7,2892
Morning,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,9.5,2666
Morning,Friday,Temporary Transbay Terminal (Howard at Beale),San Francisco,9.5,2650
Mid Morning,Wednesday,San Francisco Caltrain 2 (330 Townsend),San Francisco,10.7,2486
Mid Morning,Tuesday,San Francisco Caltrain 2 (330 Townsend),San Francisco,9.9,2458
Afternoon,Wednesday,Townsend at 7th,San Francisco,10.4,2455
Afternoon,Tuesday,Townsend at 7th,San Francisco,9.4,2424
Mid Morning,Wednesday,San Francisco Caltrain (Townsend at 4th),San Francisco,11.6,2419
