start_hour_str,dow_str,start_station_name,city,avg_duration,number_of_trips
Early Afternoon,Saturday,Embarcadero at Sansome,San Francisco,43.6,1045
Mid Day,Saturday,Harry Bridges Plaza (Ferry Building),San Francisco,54.6,977
Early Afternoon,Saturday,Harry Bridges Plaza (Ferry Building),San Francisco,47.0,871
Early Afternoon,Sunday,Embarcadero at Sansome,San Francisco,39.9,849
Mid Day,Sunday,Harry Bridges Plaza (Ferry Building),San Francisco,47.4,682
Early Afternoon,Sunday,Harry Bridges Plaza (Ferry Building),San Francisco,40.2,682
Afternoon,Saturday,Embarcadero at Sansome,San Francisco,29.5,631
Afternoon,Sunday,Embarcadero at Sansome,San Francisco,26.3,613
Early Afternoon,Friday,Embarcadero at Sansome,San Francisco,43.2,610
Mid Day,Saturday,Embarcadero at Sansome,San Francisco,53.4,531
Mid Day,Sunday,Embarcadero at Sansome,San Francisco,46.4,521
Early Afternoon,Thursday,Embarcadero at Sansome,San Francisco,34.7,483
Early Afternoon,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,55.7,480
Early Afternoon,Monday,Embarcadero at Sansome,San Francisco,40.5,432
Early Afternoon,Tuesday,Embarcadero at Sansome,San Francisco,33.5,421
Mid Day,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,51.1,402
Afternoon,Friday,Embarcadero at Sansome,San Francisco,25.5,401
Afternoon,Saturday,Harry Bridges Plaza (Ferry Building),San Francisco,50.6,395
Mid Day,Friday,Embarcadero at Sansome,San Francisco,50.5,389
Early Afternoon,Wednesday,Embarcadero at Sansome,San Francisco,26.0,363
Early Afternoon,Saturday,Embarcadero at Vallejo,San Francisco,45.6,351
Early Afternoon,Sunday,2nd at Townsend,San Francisco,46.3,340
Mid Day,Monday,Harry Bridges Plaza (Ferry Building),San Francisco,57.4,337
Mid Morning,Saturday,Harry Bridges Plaza (Ferry Building),San Francisco,49.7,324
Afternoon,Wednesday,Embarcadero at Sansome,San Francisco,19.3,309
Mid Day,Saturday,Steuart at Market,San Francisco,45.4,308
Afternoon,Sunday,Harry Bridges Plaza (Ferry Building),San Francisco,31.5,307
Afternoon,Thursday,Embarcadero at Sansome,San Francisco,22.2,299
Early Afternoon,Saturday,Steuart at Market,San Francisco,50.7,297
Mid Day,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,42.5,295
Early Afternoon,Saturday,Market at 4th,San Francisco,43.6,294
Early Afternoon,Saturday,2nd at Townsend,San Francisco,69.5,293
Early Afternoon,Monday,Harry Bridges Plaza (Ferry Building),San Francisco,40.3,292
Mid Day,Saturday,Powell Street BART,San Francisco,72.4,291
Mid Day,Sunday,Market at 4th,San Francisco,67.3,288
Mid Day,Saturday,Powell at Post (Union Square),San Francisco,56.6,281
Afternoon,Monday,Embarcadero at Sansome,San Francisco,28.1,276
Early Afternoon,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,41.6,275
Early Afternoon,Thursday,Harry Bridges Plaza (Ferry Building),San Francisco,51.7,275
Mid Day,Sunday,Embarcadero at Vallejo,San Francisco,79.0,274
Mid Day,Tuesday,Embarcadero at Sansome,San Francisco,72.8,271
Mid Day,Saturday,Market at 4th,San Francisco,68.5,271
Mid Day,Saturday,San Francisco Caltrain (Townsend at 4th),San Francisco,51.0,271
Early Afternoon,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,57.1,270
Mid Day,Saturday,Embarcadero at Vallejo,San Francisco,83.5,269
Afternoon,Tuesday,Embarcadero at Sansome,San Francisco,22.0,267
Afternoon,Friday,Harry Bridges Plaza (Ferry Building),San Francisco,31.2,267
Mid Day,Monday,Embarcadero at Sansome,San Francisco,50.6,264
Mid Day,Wednesday,Harry Bridges Plaza (Ferry Building),San Francisco,52.3,264
Early Afternoon,Saturday,Embarcadero at Bryant,San Francisco,50.2,263
Early Afternoon,Sunday,Embarcadero at Vallejo,San Francisco,56.9,259
Mid Day,Saturday,Market at Sansome,San Francisco,63.2,258
Early Afternoon,Saturday,Powell Street BART,San Francisco,63.0,250
Early Afternoon,Saturday,Grant Avenue at Columbus Avenue,San Francisco,49.8,250
Mid Day,Saturday,2nd at Townsend,San Francisco,31.4,247
Mid Day,Tuesday,Harry Bridges Plaza (Ferry Building),San Francisco,50.1,246
Mid Day,Sunday,Powell Street BART,San Francisco,72.4,243
Mid Day,Thursday,Embarcadero at Sansome,San Francisco,44.0,235
Early Afternoon,Sunday,Steuart at Market,San Francisco,35.8,234
Mid Day,Saturday,Embarcadero at Bryant,San Francisco,46.6,234
